Timestamp,PPXDK00 |FO 380 CST 3.5%S FOB SPORE CARGO(USD/MT) : CLOSE,PPXDK00 |FO 380 CST 3.5%S FOB SPORE CARGO(USD/MT) : HIGH,PPXDK00 |FO 380 CST 3.5%S FOB SPORE CARGO(USD/MT) : LOW
2/19/2024,427.26,427.28,427.24
2/16/2024,429.31,429.33,429.29
2/15/2024,417.96,417.98,417.94
2/14/2024,434.85,434.87,434.83
2/13/2024,434.23,434.25,434.21
2/9/2024,435.46,435.48,435.44
2/8/2024,425.32,425.34,425.3
2/7/2024,421.76,421.78,421.74
2/6/2024,420.91,420.93,420.89
2/5/2024,416.51,416.53,416.49
2/2/2024,414.68,414.7,414.66
2/1/2024,415.85,415.87,415.83
1/31/2024,442.71,442.73,442.69
1/30/2024,443.44,443.46,443.42
1/29/2024,446.46,446.48,446.44
1/26/2024,435.2,435.22,435.18
1/25/2024,424.92,424.94,424.9
1/24/2024,418.44,418.46,418.42
1/23/2024,428.25,428.27,428.23
1/22/2024,416.8,416.82,416.78
1/19/2024,427.28,427.3,427.26
1/18/2024,421.38,421.4,421.36
1/17/2024,424.31,424.33,424.29
1/16/2024,423.37,423.39,423.35
1/15/2024,424.21,424.23,424.19
1/12/2024,422.49,422.51,422.47
1/11/2024,424.06,424.08,424.04
1/10/2024,430.06,430.08,430.04
1/9/2024,430.18,430.2,430.16
1/8/2024,436.98,437,436.96
1/5/2024,449.8,449.82,449.78
1/4/2024,459.05,459.07,459.03
1/3/2024,440.98,441,440.96
1/2/2024,440.15,440.17,440.13
12/29/2023,426.43,426.45,426.41
12/28/2023,438.78,438.8,438.76
12/27/2023,450.5,450.52,450.48
12/26/2023,441.36,441.38,441.34
12/22/2023,448.25,448.27,448.23
12/21/2023,444.44,444.46,444.42
12/20/2023,443.47,443.49,443.45
12/19/2023,429.11,429.13,429.09
12/18/2023,425.67,425.69,425.65
12/15/2023,427.59,427.61,427.57
12/14/2023,423.38,423.4,423.36
12/13/2023,413.41,413.43,413.39
12/12/2023,428.34,428.36,428.32
12/11/2023,424.6,424.62,424.58
12/8/2023,411.64,411.66,411.62
12/7/2023,403.42,403.44,403.4
12/6/2023,425.77,425.79,425.75
12/5/2023,438.68,438.7,438.66
12/4/2023,434.33,434.35,434.31
12/1/2023,447.15,447.17,447.13
11/30/2023,461.94,461.96,461.92
11/29/2023,453.13,453.15,453.11
11/28/2023,440.28,440.3,440.26
11/27/2023,431.79,431.81,431.77
11/24/2023,439.5,439.52,439.48
11/23/2023,439.17,439.19,439.15
11/22/2023,449.84,449.86,449.82
11/21/2023,441.79,441.81,441.77
11/20/2023,443.84,443.86,443.82
11/17/2023,426.48,426.5,426.46
11/16/2023,437.8,437.82,437.78
11/15/2023,440.12,440.14,440.1
11/14/2023,434.39,434.41,434.37
11/10/2023,430.81,430.83,430.79
11/9/2023,428.5,428.52,428.48
11/8/2023,428.5,428.52,428.48
11/7/2023,438.67,438.69,438.65
11/6/2023,455.61,455.63,455.59
11/3/2023,462.22,462.24,462.2
11/2/2023,451.26,451.28,451.24
11/1/2023,440.09,440.11,440.07
10/31/2023,441.03,441.05,441.01
10/30/2023,445.45,445.47,445.43
10/27/2023,456.08,456.1,456.06
10/26/2023,458.54,458.56,458.52
10/25/2023,452.72,452.74,452.7
10/24/2023,460.7,460.72,460.68
10/23/2023,470.61,470.63,470.59
10/20/2023,486.3,486.32,486.28
10/19/2023,477.07,477.09,477.05
10/18/2023,486.5,486.52,486.48
10/17/2023,473.77,473.79,473.75
10/16/2023,475.16,475.18,475.14
10/13/2023,459.43,459.45,459.41
10/12/2023,454.23,454.25,454.21
10/11/2023,462.12,462.14,462.1
10/10/2023,459.12,459.14,459.1
10/9/2023,461.88,461.9,461.86
10/6/2023,441.48,441.5,441.46
10/5/2023,440.62,440.64,440.6
10/4/2023,468.81,468.83,468.79
10/3/2023,474.53,474.55,474.51
10/2/2023,494.62,494.64,494.6
9/29/2023,516.88,516.9,516.86
9/28/2023,537.21,537.23,537.19
9/27/2023,531.43,531.45,531.41
9/26/2023,509.09,509.11,509.07
9/25/2023,516.9,516.92,516.88
9/22/2023,514.81,514.83,514.79
9/21/2023,504.83,504.85,504.81
9/20/2023,507.59,507.61,507.57
9/19/2023,510.13,510.15,510.11
9/18/2023,523.19,523.21,523.17
9/15/2023,538.97,538.99,538.95
9/14/2023,538.46,538.48,538.44
9/13/2023,542.76,542.78,542.74
9/12/2023,533.93,533.95,533.91
9/11/2023,531.4,531.42,531.38
9/8/2023,533.42,533.44,533.4
9/7/2023,536.71,536.73,536.69
9/6/2023,525.12,525.14,525.1
9/5/2023,508.16,508.18,508.14
9/4/2023,509.63,509.65,509.61
8/31/2023,511.23,511.25,511.21
8/30/2023,511.89,511.91,511.87
8/29/2023,507.71,507.73,507.69
8/28/2023,511.62,511.64,511.6
8/25/2023,509.99,510.01,509.97
8/24/2023,503.32,503.34,503.3
8/23/2023,527.06,527.08,527.04
8/22/2023,544.76,544.78,544.74
8/21/2023,548.13,548.15,548.11
8/18/2023,538.65,538.67,538.63
8/17/2023,529.39,529.41,529.37
8/16/2023,530.99,531.01,530.97
8/15/2023,538.73,538.75,538.71
8/14/2023,540.33,540.35,540.31
8/11/2023,544.65,544.67,544.63
8/10/2023,550.92,550.94,550.9
8/8/2023,537.06,537.08,537.04
8/7/2023,545.43,545.45,545.41
8/4/2023,552.65,552.67,552.63
8/3/2023,534.47,534.49,534.45
8/2/2023,555.51,555.53,555.49
8/1/2023,529.29,529.31,529.27
7/31/2023,511.87,511.89,511.85
7/28/2023,504.32,504.34,504.3
7/27/2023,498.45,498.47,498.43
7/26/2023,493.87,493.89,493.85
7/25/2023,490.54,490.56,490.52
7/24/2023,487.87,487.89,487.85
7/21/2023,482.64,482.66,482.62
7/20/2023,476.25,476.27,476.23
7/19/2023,472.23,472.25,472.21
7/18/2023,462.16,462.18,462.14
7/17/2023,461.75,461.77,461.73
7/14/2023,480.01,480.03,479.99
7/13/2023,472.43,472.45,472.41
7/12/2023,469.94,469.96,469.92
7/11/2023,470.65,470.67,470.63
7/10/2023,462.4,462.42,462.38
7/7/2023,456.2,456.22,456.18
7/6/2023,448.99,449.01,448.97
7/5/2023,448.77,448.79,448.75
7/4/2023,444.31,444.33,444.29
7/3/2023,440.21,440.23,440.19
6/30/2023,431.69,431.71,431.67
6/28/2023,416.01,416.03,415.99
6/27/2023,422.97,422.99,422.95
6/26/2023,425.07,425.09,425.05
6/23/2023,427.08,427.1,427.06
6/22/2023,438.47,438.49,438.45
6/21/2023,428.81,428.83,428.79
6/20/2023,428.57,428.59,428.55
6/19/2023,425.3,425.32,425.28
6/16/2023,424.03,424.05,424.01
6/15/2023,413.41,413.43,413.39
6/14/2023,417.9,417.92,417.88
6/13/2023,404.78,404.8,404.76
6/12/2023,405.79,405.81,405.77
6/9/2023,417.39,417.41,417.37
6/8/2023,419.99,420.01,419.97
6/7/2023,420.19,420.21,420.17
6/6/2023,414.63,414.65,414.61
6/5/2023,427.92,427.94,427.9
6/1/2023,405.01,405.03,404.99
5/31/2023,404.81,404.83,404.79
5/30/2023,419.82,419.84,419.8
5/29/2023,426.23,426.25,426.21
5/26/2023,419.08,419.1,419.06
5/25/2023,431.54,431.56,431.52
5/24/2023,427.55,427.57,427.53
5/23/2023,421.8,421.82,421.78
5/22/2023,425.94,425.96,425.92
5/19/2023,435.09,435.11,435.07
5/18/2023,435.02,435.04,435
5/17/2023,417.91,417.93,417.89
5/16/2023,424.23,424.25,424.21
5/15/2023,419.05,419.07,419.03
5/12/2023,419.22,419.24,419.2
5/11/2023,431.93,431.95,431.91
5/10/2023,430.18,430.2,430.16
5/9/2023,429.05,429.07,429.03
5/8/2023,428.34,428.36,428.32
5/5/2023,398.86,398.88,398.84
5/4/2023,407.85,407.87,407.83
5/3/2023,425.38,425.4,425.36
5/2/2023,447.02,447.04,447
4/28/2023,435.4,435.42,435.38
4/27/2023,435.05,435.07,435.03
4/26/2023,452.99,453.01,452.97
4/25/2023,462.84,462.86,462.82
4/24/2023,454.28,454.3,454.26
4/21/2023,448.08,448.1,448.06
4/20/2023,455.43,455.45,455.41
4/19/2023,462.6,462.62,462.58
4/18/2023,469.78,469.8,469.76
4/17/2023,475.03,475.05,475.01
4/14/2023,474.83,474.85,474.81
4/13/2023,483.19,483.21,483.17
4/12/2023,478.86,478.88,478.84
4/11/2023,477.54,477.56,477.52
4/10/2023,473.72,473.74,473.7
4/6/2023,464.2,464.22,464.18
4/5/2023,464.84,464.86,464.82
4/4/2023,458.84,458.86,458.82
4/3/2023,457.37,457.39,457.35
3/31/2023,422.01,422.03,421.99
3/30/2023,417.11,417.13,417.09
3/29/2023,415.73,415.75,415.71
3/28/2023,416.86,416.88,416.84
3/27/2023,398.12,398.14,398.1
3/24/2023,397.3,397.32,397.28
3/23/2023,395.27,395.29,395.25
3/22/2023,387.88,387.9,387.86
3/21/2023,385.69,385.71,385.67
3/20/2023,366.41,366.43,366.39
3/17/2023,385.73,385.75,385.71
3/16/2023,388.29,388.31,388.27
3/15/2023,410.1,410.12,410.08
3/14/2023,416.21,416.23,416.19
3/13/2023,437.86,437.88,437.84
