Trade_#,Trade_Type,Direction,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Units,Entry_Notional,Conviction,Realized_PnL,Unrealized_PnL,PnL_Pct
112,ADD_ON,SHORT,2021-11-10,82.63999938964844,2021-11-26,72.72000122070312,1615.8200498315418,133531.36793186032,0.51753676,11859.81906073454,0.0,8.881672706885233
113,REDUCE,SHORT,2021-11-11,82.87000274658203,2021-11-26,72.72000122070312,2061.806888737905,170861.94253263195,0.56668615,15175.398516374706,0.0,8.881672706885233
114,REDUCE,SHORT,2021-11-12,82.16999816894531,2021-11-26,72.72000122070312,5263.085728431135,432467.74466818856,0.6800734,38410.36964427662,0.0,8.881672706885233
115,REDUCE,SHORT,2021-11-15,82.05000305175781,2021-11-26,72.72000122070312,6476.859289290005,531426.3244520508,0.8257818,47199.54681606117,0.0,8.881672706885233
116,ADD_ON,SHORT,2021-11-16,82.43000030517578,2021-11-26,72.72000122070312,6251.7185947026155,515329.16566920973,0.6878842,45769.84985786159,0.0,8.881672706885233
117,REDUCE,SHORT,2021-11-18,81.23999786376953,2021-11-26,72.72000122070312,9781.464358844969,794646.1436171031,0.8952755,70577.8696539563,0.0,8.881672706885235
118,REDUCE,SHORT,2021-11-19,78.88999938964844,2021-11-26,72.72000122070312,2908.636146544137,229462.30382557635,0.9280058,20380.09081146629,0.0,8.881672706885235
119,ADD_ON,SHORT,2021-11-22,79.69999694824219,2021-11-26,72.72000122070312,283.22243510276894,22572.827213364406,0.93300366,2004.8446337817493,0.0,8.881672706885233
120,ADD_ON,SHORT,2021-11-23,82.30999755859375,2021-11-26,72.72000122070312,561.5817954577942,46223.79621308174,0.9562341,4105.446292343531,0.0,8.881672706885233
121,ADD_ON,SHORT,2021-11-24,82.25,2021-11-26,72.72000122070312,91.72702095724526,7544.5474737334225,0.95332944,670.0820138325807,0.0,8.881672706885233
122,NEW,LONG,2021-11-26,72.72000122070312,2021-12-23,76.8499984741211,44746.37521661803,3253956.460374503,0.73308647,77626.60351589785,0.0,2.3856067055969055
123,ADD_ON,LONG,2021-11-29,73.44000244140625,2021-12-23,76.8499984741211,13859.252707977277,1017823.5527099174,0.9737241,24281.26692459244,0.0,2.385606705596905
124,ADD_ON,LONG,2021-11-30,70.56999969482422,2021-12-23,76.8499984741211,3010.8422564913635,212475.13712175938,0.98545575,5068.821118902912,0.0,2.3856067055969055
125,ADD_ON,LONG,2021-12-01,68.87000274658203,2021-12-23,76.8499984741211,1595.8742185983792,109907.86181806982,0.98682296,2621.969321510054,0.0,2.385606705596905
126,REDUCE,LONG,2021-12-02,69.66999816894531,2021-12-23,76.8499984741211,666.4782329424852,46433.537268744854,0.98791885,1107.7215787290154,0.0,2.3856067055969055
127,ADD_ON,LONG,2021-12-03,69.87999725341797,2021-12-23,76.8499984741211,154.27223335921008,10780.543243420256,0.9942554,257.18136251480774,0.0,2.3856067055969055
128,REDUCE,LONG,2021-12-06,73.08000183105469,2021-12-23,76.8499984741211,4878.547863276595,356524.28678114153,0.9529524,8505.267292532453,0.0,2.3856067055969055
129,REDUCE,LONG,2021-12-07,75.44000244140625,2021-12-23,76.8499984741211,22637.61113371956,1707781.439195409,0.53661346,40740.948530385016,0.0,2.3856067055969055
130,ADD_ON,LONG,2021-12-08,75.81999969482422,2021-12-23,76.8499984741211,2116.201765132013,160450.4171864957,0.582669,3827.715911559251,0.0,2.3856067055969055
131,ADD_ON,LONG,2021-12-09,74.41999816894531,2021-12-23,76.8499984741211,9050.64004190224,673548.6153461478,0.7472967,16068.220933152808,0.0,2.3856067055969055
132,REDUCE,LONG,2021-12-13,74.38999938964844,2021-12-23,76.8499984741211,5851.3255370944535,435280.1031330907,0.6315961,10384.071328472137,0.0,2.3856067055969055
133,REDUCE,LONG,2021-12-14,73.69999694824219,2021-12-23,76.8499984741211,594.0408193354524,43780.80657215413,0.6125916,1044.4378573497195,0.0,2.3856067055969055
